(ugliest, 001000000110001000)
(fool's, 0010000001100010010)
(extols, 0010000001100010011)
(whores, 001000000110001010)
(chaser, 001000000110001011)
(Juan, 001000000110001100)
(Them, 0010000001100011010)
(seductresses, 0010000001100011011)
(authentic, 001000000110001110)
(friction, 0010000001100011110)
(diamonds, 0010000001100011111)
(carriers, 001000000110010000)
(ballrooms, 001000000110010001)
(misfortune, 001000000110010010)
(EGOIST, 001000000110010011)
(lettuce, 00100000011001010)
(sailors, 0010000001100101100)
(vacated, 0010000001100101101)
(bloodedly, 0010000001100101110)
(Supreme, 0010000001100101111)
(TORCH, 001000000110011000)
(understatement, 001000000110011001)
(insinuating, 0010000001100110100)
(phonier, 0010000001100110101)
(snowstorms, 001000000110011011)
(northwest, 00100000011001110)
(swindle, 00100000011001111)
(accepts, 00100000011010000)
(guiltier, 00100000011010001)
(Old, 001000000110100100)
(coke, 001000000110100101)
(costing, 001000000110100110)
(postal, 0010000001101001110)
(forwarding, 0010000001101001111)
(qualifications, 001000000110101000)
(DELIVERANCE, 001000000110101001)
(interrupt, 00100000011010101)
(alighted, 0010000001101011000)
(Mac, 0010000001101011001)
(Willie's, 0010000001101011010)
(officer's, 0010000001101011011)
(Harmony, 001000000110101110)
(wavering, 001000000110101111)
(landless, 0010000001101100000)
(nomads, 0010000001101100001)
(Taut, 0010000001101100010)
(singular, 0010000001101100011)
(blessing, 00100000011011001)
(determination, 00100000011011010)
(smudged, 00100000011011011)
(blinding, 001000000110111)
(wiper, 0010000001110000)
(tweed, 0010000001110001000)
(brood, 0010000001110001001)
(Sowers, 0010000001110001010)
(flunky, 0010000001110001011)
(obscenities, 001000000111000110)
(adjoining, 0010000001110001110)
(candelabra, 0010000001110001111)
(brocaded, 001000000111001000)
(hassock, 001000000111001001)
(regalia, 0010000001110010100)
(Peculiar, 0010000001110010101)
(glove, 001000000111001011)
(sucking, 0010000001110011000)
(patrons, 0010000001110011001)
(pliers, 001000000111001101)
(rulings, 0010000001110011100)
(obsessed, 0010000001110011101)
(Unfortunately, 0010000001110011110)
(Enter, 0010000001110011111)
(drank, 0010000001110100)
(homework, 0010000001110101000)
(overstrained, 0010000001110101001)
(Price, 0010000001110101010)
(westward, 0010000001110101011)
(authors, 001000000111010110)
(garrets, 0010000001110101110)
(dismembering, 0010000001110101111)
(Buffalo, 00100000011101100)
(Six, 00100000011101101)
(ATLAS, 001000000111011100)
(Fountainhead, 001000000111011101)
(Brooks, 00100000011101111)
(scruples, 0010000001111000000)
(mirthful, 0010000001111000001)
(drama, 001000000111100001)
(Moved, 0010000001111000100)
(d, 0010000001111000101)
(sissies, 0010000001111000110)
(lids, 0010000001111000111)
(rode, 0010000001111001)
(bookstore, 0010000001111010000)
(array, 0010000001111010001)
(unwashed, 0010000001111010010)
(clotheslines, 0010000001111010011)
(makeshift, 001000000111101010)
(tugboat, 0010000001111010110)
(bunting, 0010000001111010111)
(dusk, 0010000001111011)
('impractical, 0010000001111100000)
(vigor, 0010000001111100001)
(conventional, 001000000111110001)
(Differences, 0010000001111100100)
(bulging, 0010000001111100101)
(incompetently, 0010000001111100110)
(porous, 0010000001111100111)
(stony, 001000000111110100)
(yourselves, 0010000001111101010)
(juvenile, 0010000001111101011)
(couriers, 0010000001111101100)
(Commonwealth, 0010000001111101101)
(yanked, 001000000111110111)
(Bussby, 0010000001111110000)
(Industrialist, 0010000001111110001)
(drum, 0010000001111110010)
(Thorpe, 0010000001111110011)
(Dawley, 0010000001111110100)
(Vulture, 0010000001111110101)
(pickets, 0010000001111110110)
('Chick', 0010000001111110111)
(lucky, 0010000001111111)
(wherever, 001000001000000)
(Senior, 00100000100000100)
(proposal, 00100000100000101)
(neighboring, 00100000100000110)
(feature, 001000001000001110)
(naturedly, 001000001000001111)
(meantime, 001000001000010000)
(harpist, 0010000010000100010)
(synthesis, 0010000010000100011)
(obelisks, 0010000010000100100)
(stoops, 0010000010000100101)
(sufferers, 0010000010000100110)
(Dope, 0010000010000100111)
(Tuesday, 0010000010000101000)
(Scranton, 0010000010000101001)
(withering, 0010000010000101010)
(Unificator, 0010000010000101011)
(blacklisted, 0010000010000101100)
(sloth, 0010000010000101101)
(soda, 0010000010000101110)
(crackers, 0010000010000101111)
(particles, 00100000100001100)
(holiest, 0010000010000110100)
(statesmen, 0010000010000110101)
(Mario, 0010000010000110110)
(Martinez, 0010000010000110111)
(drawling, 00100000100001110)
(awaited, 00100000100001111)
(corridors, 0010000010001000)
(cabbage, 0010000010001001000)
(gloom, 0010000010001001001)
(relying, 001000001000100101)
(weave, 001000001000100110)
(avenged, 001000001000100111)
(fifties, 00100000100010100)
(dislocation, 001000001000101010)
(applauded, 0010000010001010110)
(usher, 0010000010001010111)
(voting, 0010000010001011)
(funereal, 0010000010001100000)
(blindest, 0010000010001100001)
(Assistant, 001000001000110001)
('consumers, 0010000010001100100)
(smuggle, 0010000010001100101)
(smuggling, 0010000010001100110)
(granary, 0010000010001100111)
(inspired, 0010000010001101000)
(refers, 0010000010001101001)
(farmland, 0010000010001101010)
(reprehensible, 0010000010001101011)
(races, 001000001000110110)
(managerial, 001000001000110111)
(volunteering, 00100000100011100)
(GUILT, 001000001000111010)
(Dimly, 001000001000111011)
(Relief, 00100000100011110)
(ounce, 001000001000111110)
(Members, 0010000010001111110)
(unsupported, 0010000010001111111)
(Harbor, 0010000010010000000)
(time's, 0010000010010000001)
(graver, 0010000010010000010)
(perfunctorily, 0010000010010000011)
(sands, 001000001001000010)
(sensitively, 0010000010010000110)
